top row,Structure,Chemical Name,Minimum % Purity,Catalog Number,Structural Formula,Formula Weight,Availability,Price USD 10mg,Price USD 100mg,Price USD 250mg,Price USD    1g,Price USD    5g,Price USD    20g,Price USD    50g
4039537,,3-Methyl-4-trifluoromethyl-phenylboronic acid,95,FS005010,C8H8BF3O2,203.95796,In Stock,,,,895,2995,4995,
4039538,,3-Fluoro-4-trifluoromethyl-phenylboronic acid,95,FS005011,C7H5BF4O2,207.9213,In Stock,95,195,295,495,995,2995,
4039539,,3-Trifluoromethyl-4-fluoro-phenylboronic acid,95,FS005012,C7H5BF4O2,207.9213,In Stock,,75,145,295,995,1995,3192
4039552,,4-(2-Bromo-acetyl)-benzoic acid  methyl ester,95,FS005025,C10H9BrO3,257.08543,In Stock,75,80,95,145,650,2250,
4039554,,"5-tert-Butyl-2-[2-(4-fluoro-phenoxy)-ethyl]-2,4-dihydro-pyrazol-3-one",95,FS005027,C15H19FN2O2,278.32928,In Stock,75,95,155,,,,
4039555,,"5-tert-Butyl-2-cycloheptyl-2,4-dihydro-pyrazol-3-one",95,FS005028,C14H24N2O,236.36018,In Stock,75,95,175,,,,
4039556,,"5-tert-Butyl-2-(1-methyl-hexyl)-2,4-dihydro-pyrazol-3-one",95,FS005029,C14H26N2O,238.37612,In Stock,75,135,,,,,
4039557,,4-(3-Bromo-phenyl)-2-phenoxymethyl-thiazole,98,FS005030,C16H12BrNOS,346.24814,In Stock,85,115,195,,,,
4039558,,4-(3-Bromo-phenyl)-2-(4-tert-butyl-phenoxymethyl)-thiazole,98,FS005031,C20H20BrNOS,402.3565,In Stock,85,115,195,,,,
4039559,,"1,3-Dihydro-imidazol-2-one",95,FS005032,C3H4N2O,84.07813,In Stock,95,195,295,695,1950,3995,
4039560,,"4,5-Dimethyl-1,3-dihydro-imidazol-2-one",95,FS005033,C5H8N2O,112.13231,In Stock,75,95,195,495,1950,2950,
4039561,,"4-tert-Butyl-1,3-dihydro-imidazol-2-one",95,FS005034,C7H12N2O,140.18649,In Stock,75,95,195,395,1650,2950,
4039562,,"2-Chloro-N-(3,4-dichloro-benzyl)-benzenesulfonamide",99,FS005035,C13H10Cl3NO2S,350.65315,In Stock,,,95,115,245,,
4039563,,N-(4-Cyano-benzyl)-2-methoxy-benzenesulfonamide,97,FS005036,C15H14N2O3S,302.35443,In Stock,75,95,145,195,450,,
4039564,,N-(4-Bromo-benzyl)-2-methoxy-benzenesulfonamide,99,FS005037,C14H14BrNO3S,356.24058,In Stock,75,95,145,195,550,1950,
4039565,,1-(2-Methoxy-benzenesulfonyl)-4-methyl-piperazine; hydrochloride,95,FS002220,C12H19ClN2O3S,306.81383,In Stock,75,95,195,395,1295,,
4039568,,6-Bromo-benzo[d]thiazole,98,FS002095,C7H4BrNS,214.08463,In Stock,,75,95,195,850,2495,
4039573,,N-(t-Butoxycarbonyl)-hydroxylamine,98,FS000031,C5H11NO3,133.14832,In Stock,,,,,95,200,
4039574,,Benzothiophene-2-boronic acid,97,FS000032,C8H7BO2S,178.01879,In Stock,,,95,115,315,715,
4039576,,4-cyano-phenyl-boronic acid,95,FS000034,C7H6BNO2,146.94237,In Stock,,,,95,315,,
4039577,,Fmoc-D-methionine,95,FS000035,C20H21NO4S,371.45867,In Stock,,,,,95,210,
4039580,,2-Amino-4-hydroxymethyl-pyrimidine,95,FS000710,C5H7N3O,125.13104,In Stock,,,895,1915,6209,,
4039588,,2-Chloro-4-bromo-6-trifluoromethoxyaniline,95,FS001400,C7H4BrClF3NO,290.46823,In Stock,,,,95,290,950,1520
4039592,,3-(Difluoromethoxy)-benzeneboronic acid,95,FS000795,C7H7BF2O3,187.93984,In Stock,,195,395,950,2495,4995,7992
4039595,,"3-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-phenylethynyl-trimethylsilane",95,FS000549,C17H25BO2Si,300.2846,In Stock,,,495,850,2495,3995,
4039597,,"5-Iodo-2-methyl-1,3-benzothiazole",95,FS000656,C8H6INS,275.11212,In stock,75,145,295,895,2450,,
4039599,,(6-Chloro-pyridin-3-yl)propan-2-one,95,FS011484,C8H8ClNO,169.61206,In Stock,,,,495,1950,5995,
4039600,,(6-chloropyridin-2-yl)acetic acid,95,FS011485,C7H6ClNO2,171.58437,In Stock,95,295,495,850,2495,4995,
4039609,,4-(1-Pyrrolidino)-benzaldehyde,95,FS000037,C11H13NO,175.23236,In Stock,,,,95,,,
4039610,,"3,4-Dimethoxybenzyl isothiocyanate",95,FS000038,C10H11NO2S,209.26867,In Stock,,,,95,,,
4039611,,(2-Methoxy-5-phenyl)phenyl isothiocyanate,95,FS000039,C14H11NOS,241.31387,In Stock,,,,,99,,
4039614,,N-Boc-7-Aminoheptanoic acid,95,FS000042,C12H23NO4,245.32141,In Stock,,,95,,,,
4039615,,4-Methoxybenzenesulfonyl chloride,99,FS000043,C7H7ClO3S,206.64904,In Stock,,,,,,95,
4039616,,3-Nitrophenyl isothiocyanate,95,FS000044,C7H4N2O2S,180.18613,In Stock,,,,,95,,
4039617,,4-Fluorophenyl isothiocyanate,95,FS000045,C7H4FNS,153.17903,In Stock,,,,,,95,
4039618,,N-Fmoc-6-Aminohexanoic acid,95,FS000046,C21H23NO4,353.42176,In Stock,,,,90,,,
4039622,,"6-(4,4,5,5-Tetramethyl1,3,2-dioxaboralan-2-yl)-2,3-dihydroinden-1-one",95,FS010909,C15H19BO3,258.12788,In Stock,95,195,295,495,2295,5995,
4039629,,(3-Methylenecyclobutyl)methanamine Hydrochloride,95,FS005040,C6H12ClN,133.62224,In Stock,,,,950,2550,3950,
4039630,,N'-Hydroxy-3-methylenecyclobutanecarboximidamide,93,FS005041,C6H10N2O,126.1594,In Stock,75,145,295,895,1995,3995,
4039636,,N-Bromoacetylazetidine,95,FS002099,C5H8BrNO,178.02961,In Stock,,,495,895,2995,5990,
4039661,,2-Chloro-4-bromo-benzenesulfonyl chloride,95,FS000062,C6H3BrCl2O2S,289.96361,In Stock,,,,95,,,
4039662,,"1-Boc-1,4-diazepane",95,FS000063,C10H20N2O2,200.2831,In Stock,,,,95,,,
4039663,,L-Isoleucine t-butyl ester hydrochloride,95,FS000064,C10H22ClNO2,223.74534,In Stock,,,,95,,,
4039664,,omega-Nitro-Boc-D-Arginine,95,FS000065,C11H21N5O6,319.31992,In Stock,,,,95,395,,
4039665,,"Benzyl (2R,3S)-(-)-6-oxo-2,3-diphenyl-4-morpholine-carboxylate",98,FS000067,C24H21NO4,387.43927,In Stock,,,95,215,,,
4039666,,4-Cyano-phenyl-isothiocyanate,95,FS000068,C8H4N2S,160.19848,In Stock,,,,95,,,
4039667,,"(R)-5-Imino-14,14-dimethyl-3,12-dioxo-1-phenyl-2,13-dioxa-4,6,11-triazapentadecane-10-carboxylic acid",95,FS000069,C19H28N4O6,408.45821,In Stock,,,,95,,,
4039668,,L-Leucine t-butyl ester hydrochloride,95,FS000070,C10H22ClNO2,223.74534,In Stock,,,,95,,,
4039669,,Boc-Phenylglycine,95,FS000066,C13H17NO4,251.28474,In Stock,,,,95,,,
4039681,,"6-Bromo-3-methyl-1,2,4-triazolo[4,3-a]-pyridine",95,FS004014,C7H6BrN3,212.04997,in stock,,95,195,495,1995,3995,
4039685,,3-(3-Bromophenyl)-cyclobutanone,95,FS011500,C10H9BrO,225.08663,In Stock,95,195,295,495,1995,3995,
4039690,,"3-Aminoisothiazolo[3,4-b]pyridine",95,FS000682,C6H5N3S,151.19085,In Stock,95,295,595,950,1995,6495,
4039691,,"3-Bromoisothiazolo[3,4-b]pyridine",95,FS000686,C6H3BrN2S,215.07221,In Stock,295,995,1495,2995,,,
4039694,,4-Hydroxy-cinnoline,95,FS002114,C8H6N2O,146.14982,In Stock,75,95,195,495,1995,3495,
4039698,,4-Cyclopropyl-bromobenzene,95,FS004200,C9H9Br,197.07608,In Stock,75,95,195,395,1795,3995,
4039699,,4-Cyclopropyl-benzeneboronic acid,95,FS004201,C9H11BO2,161.99782,In Stock,75,95,195,495,2295,4995,
4039701,,2-Hydrazino-5-bromopyridine,95,FS005000,C5H6BrN3,188.02767,In Stock,,,,295,950,1950,3120
4039708,,"4H-Furo[3,2-b]pyrrole-5-carboxylic acid",95,FS000697,C7H5NO3,151.1228,In Stock,95,195,395,850,2995,5995,
4039711,,2-Cyclobutyl-azepane oxalate,95,FS005059,C22H40N2O4,396.5751,In Stock,75,95,195,495,1950,4950,
4039721,,"7,12-Dioxa-spiro[5.6]dodec-9-ene",95,FS001679,C10H16O2,168.23782,In Stock,,,,495,1995,3995,
4039724,,"Trans-4-bromo-1,1-dioxo-tetrahydrothiophen-3-ol",95,FS001005,C4H7BrO3S,215.06659,In Stock,,,,95,395,1250,
4039726,,Na-Fmoc-Ne-Boc-L-lysine,95,FS000049,C26H32N2O6,468.55474,In Stock,,,,95,,,
4039728,,"a,3'-Dibromoacetophenone",95,FS000051,C8H6Br2O,277.94442,In Stock,,,,,125,,
4039729,,"2,4'-Dibromoacetophenone",95,FS000052,C8H6Br2O,277.94442,In Stock,,,,,95,195,
4039730,,4-Bromo-3-methylbenzonitrile,95,FS000053,C8H6BrN,196.04772,In Stock,,,,95,,,
4039731,,2-(Trifluoromethoxy)benzenesulphonyl chloride,95,FS000054,C7H4ClF3O3S,260.62033,In Stock,,,,95,240,,
4039733,,Benzo[b]thiophene-2-carboxylic acid,95,FS000056,C9H6O2S,178.21097,In Stock,,,,95,,,
4039734,,2-Fluorophenylboronic acid,95,FS000050,C6H6BFO2,139.92292,In Stock,,,,95,200,,
4039736,,2-Amino-4-bromopyridine,95,FS001007,C5H5BrN2,173.013,In Stock,75,95,195,495,995,2995,
4039737,,5-Bromo-2-chloro-3-nitro-pyridine,95,FS001008,C5H2BrClN2O2,237.44089,In Stock,,75,80,95,380,1450,2320
4039738,,4-Bromo-2-nitro-benzaldehyde,95,FS000301,C7H4BrNO3,230.01883,In Stock,75,95,145,295,1295,3495,5592
4039740,,3-Amino-pyridine-2-carbonitrile,95,FS001009,C6H5N3,119.12685,In Stock,75,95,195,295,1295,3995,
4039741,,2-Chloro-isonicotinonitrile,95,FS000570,C6H3ClN2,138.55721,In Stock,,,,95,,,
4039742,,2-Chloro-isonicotinic acid,95,FS000571,C6H4ClNO2,157.55728,In Stock,,,,95,,,
4039744,,2-Ethoxy-benzenesulfonyl chloride,95,FS000910,C8H9ClO3S,220.67613,In Stock,,95,195,295,995,2950,
4039746,,2-Difluoromethoxy-benzenesulfonyl chloride,95,FS000912,C7H5ClF2O3S,242.6299,In Stock,,,495,850,3995,6995,
4039770,,"1,1-Dioxo-tetrahydrothiophen-3-ylamine, hydrochloride",95,FS001006,C4H10ClNO2S,171.6468,In Stock,,,95,165,570,1670,
4039772,,"Thieno[2,3-d]pyridazine",95,FS002110,C6H4N2S,136.17618,In Stock,75,95,195,495,1995,4995,
4039784,,"5-Bromo-1,1-(ethylenedioxo)-indane",95,FS011314,C11H11BrO2,255.11312,In Stock,95,195,295,495,1995,4995,
4039797,,Bis(2-carboxyphenyl)diselenide,95,FS000075,C14H10O4Se2,400.1534,In Stock,150,295,595,950,4950,,
4039798,,Bis(4-carboxyphenyl)diselenide,95,FS000076,C14H10O4Se2,400.1534,In Stock,95,195,395,895,,,
4039799,,Bis(4-aminophenyl)diselenide,95,FS000077,C12H12N2Se2,342.16284,In Stock,95,195,495,950,,,
